,zipcode,N1,agi_stub
810,35466,740.0,1
811,35466,650.0,2
812,35466,360.0,3
813,35466,230.0,4
814,35466,290.0,5
815,35466,30.0,6
816,35469,60.0,1
817,35469,50.0,2
818,35469,0.0,3
819,35469,20.0,4
820,35469,0.0,5
821,35469,0.0,6
822,35470,820.0,1
823,35470,490.0,2
824,35470,200.0,3
825,35470,110.0,4
826,35470,160.0,5
827,35470,30.0,6
828,35473,2130.0,1
829,35473,1910.0,2
830,35473,1220.0,3
831,35473,810.0,4
832,35473,1120.0,5
833,35473,170.0,6
834,35474,1100.0,1
835,35474,940.0,2
836,35474,450.0,3
837,35474,310.0,4
838,35474,350.0,5
839,35474,40.0,6
840,35475,1840.0,1
841,35475,1450.0,2
842,35475,1070.0,3
843,35475,990.0,4
844,35475,1810.0,5
845,35475,390.0,6
846,35476,1500.0,1
847,35476,1110.0,2
848,35476,440.0,3
849,35476,190.0,4
850,35476,190.0,5
851,35476,40.0,6
852,35480,240.0,1
853,35480,210.0,2
854,35480,130.0,3
855,35480,80.0,4
856,35480,130.0,5
857,35480,0.0,6
858,35481,580.0,1
859,35481,370.0,2
860,35481,160.0,3
861,35481,110.0,4
862,35481,110.0,5
863,35481,0.0,6
864,35490,550.0,1
865,35490,560.0,2
866,35490,330.0,3
867,35490,240.0,4
868,35490,270.0,5
869,35490,20.0,6
870,35501,1590.0,1
871,35501,1100.0,2
872,35501,500.0,3
873,35501,250.0,4
874,35501,310.0,5
875,35501,60.0,6
876,35503,1360.0,1
877,35503,920.0,2
878,35503,520.0,3
879,35503,290.0,4
880,35503,420.0,5
881,35503,70.0,6
882,35504,1690.0,1
883,35504,1310.0,2
884,35504,790.0,3
885,35504,620.0,4
886,35504,870.0,5
887,35504,210.0,6
888,35540,350.0,1
889,35540,280.0,2
890,35540,160.0,3
891,35540,110.0,4
892,35540,100.0,5
893,35540,0.0,6
894,35541,470.0,1
895,35541,370.0,2
896,35541,200.0,3
897,35541,110.0,4
898,35541,230.0,5
899,35541,80.0,6
900,35542,160.0,1
901,35542,140.0,2
902,35542,70.0,3
903,35542,40.0,4
904,35542,50.0,5
905,35542,0.0,6
906,35543,170.0,1
907,35543,120.0,2
908,35543,60.0,3
909,35543,30.0,4
910,35543,30.0,5
911,35543,0.0,6
912,35544,90.0,1
913,35544,80.0,2
914,35544,60.0,3
915,35544,0.0,4
916,35544,30.0,5
917,35544,0.0,6
918,35546,560.0,1
919,35546,430.0,2
920,35546,260.0,3
921,35546,160.0,4
922,35546,190.0,5
923,35546,20.0,6
924,35548,250.0,1
925,35548,160.0,2
926,35548,90.0,3
927,35548,40.0,4
928,35548,40.0,5
929,35548,0.0,6
930,35549,600.0,1
931,35549,430.0,2
932,35549,180.0,3
933,35549,110.0,4
934,35549,110.0,5
935,35549,0.0,6
936,35550,740.0,1
937,35550,570.0,2
938,35550,300.0,3
939,35550,160.0,4
940,35550,170.0,5
941,35550,30.0,6
942,35552,160.0,1
943,35552,100.0,2
944,35552,70.0,3
945,35552,30.0,4
946,35552,40.0,5
947,35552,0.0,6
948,35553,660.0,1
949,35553,490.0,2
950,35553,240.0,3
951,35553,130.0,4
952,35553,140.0,5
953,35553,50.0,6
954,35554,140.0,1
955,35554,110.0,2
956,35554,80.0,3
957,35554,40.0,4
958,35554,60.0,5
959,35554,0.0,6
960,35555,1460.0,1
961,35555,1050.0,2
962,35555,520.0,3
963,35555,320.0,4
964,35555,340.0,5
965,35555,50.0,6
966,35563,620.0,1
967,35563,450.0,2
968,35563,220.0,3
969,35563,150.0,4
970,35563,170.0,5
971,35563,20.0,6
972,35564,310.0,1
973,35564,260.0,2
974,35564,140.0,3
975,35564,60.0,4
976,35564,60.0,5
977,35564,0.0,6
978,35565,2050.0,1
979,35565,1460.0,2
980,35565,660.0,3
981,35565,320.0,4
982,35565,370.0,5
983,35565,110.0,6
984,35570,1710.0,1
985,35570,1150.0,2
986,35570,560.0,3
987,35570,320.0,4
988,35570,350.0,5
989,35570,60.0,6
990,35571,130.0,1
991,35571,130.0,2
992,35571,50.0,3
993,35571,30.0,4
994,35571,30.0,5
995,35571,0.0,6
996,35572,140.0,1
997,35572,120.0,2
998,35572,60.0,3
999,35572,40.0,4
1000,35572,70.0,5
1001,35572,0.0,6
1002,35574,180.0,1
1003,35574,120.0,2
1004,35574,100.0,3
1005,35574,70.0,4
1006,35574,70.0,5
1007,35574,0.0,6
1008,35575,140.0,1
1009,35575,110.0,2
1010,35575,60.0,3
1011,35575,50.0,4
1012,35575,30.0,5
1013,35575,0.0,6
1014,35576,390.0,1
1015,35576,330.0,2
1016,35576,190.0,3
1017,35576,130.0,4
1018,35576,150.0,5
1019,35576,0.0,6
1020,35578,750.0,1
1021,35578,510.0,2
1022,35578,270.0,3
1023,35578,200.0,4
1024,35578,160.0,5
1025,35578,0.0,6
1026,35579,440.0,1
1027,35579,320.0,2
1028,35579,190.0,3
1029,35579,110.0,4
1030,35579,130.0,5
1031,35579,0.0,6
1032,35580,550.0,1
1033,35580,420.0,2
1034,35580,230.0,3
1035,35580,160.0,4
1036,35580,160.0,5
1037,35580,20.0,6
1038,35581,780.0,1
1039,35581,550.0,2
1040,35581,310.0,3
1041,35581,140.0,4
1042,35581,150.0,5
1043,35581,20.0,6
1044,35582,580.0,1
1045,35582,520.0,2
1046,35582,250.0,3
1047,35582,150.0,4
1048,35582,150.0,5
1049,35582,40.0,6
1050,35585,240.0,1
1051,35585,170.0,2
1052,35585,90.0,3
1053,35585,70.0,4
1054,35585,80.0,5
1055,35585,0.0,6
1056,35586,630.0,1
1057,35586,480.0,2
1058,35586,250.0,3
1059,35586,120.0,4
1060,35586,170.0,5
1061,35586,0.0,6
1062,35587,130.0,1
1063,35587,80.0,2
1064,35587,40.0,3
1065,35587,40.0,4
1066,35587,50.0,5
1067,35587,0.0,6
1068,35592,670.0,1
1069,35592,440.0,2
1070,35592,270.0,3
1071,35592,150.0,4
1072,35592,190.0,5
1073,35592,30.0,6
1074,35593,250.0,1
1075,35593,210.0,2
1076,35593,110.0,3
1077,35593,70.0,4
1078,35593,60.0,5
1079,35593,0.0,6
1080,35594,1120.0,1
1081,35594,790.0,2
1082,35594,450.0,3
1083,35594,280.0,4
1084,35594,330.0,5
1085,35594,70.0,6
1086,35601,5900.0,1
1087,35601,4500.0,2
1088,35601,1720.0,3
1089,35601,790.0,4
1090,35601,980.0,5
1091,35601,330.0,6
1092,35603,4600.0,1
1093,35603,3550.0,2
1094,35603,2110.0,3
1095,35603,1420.0,4
1096,35603,2520.0,5
1097,35603,660.0,6
1098,35610,270.0,1
1099,35610,200.0,2
1100,35610,130.0,3
1101,35610,80.0,4
1102,35610,100.0,5
1103,35610,0.0,6
1104,35611,4240.0,1
1105,35611,3190.0,2
1106,35611,1520.0,3
1107,35611,810.0,4
1108,35611,1160.0,5
1109,35611,260.0,6
1110,35613,2700.0,1
1111,35613,1960.0,2
1112,35613,1610.0,3
1113,35613,1320.0,4
1114,35613,2700.0,5
1115,35613,800.0,6
1116,35614,1120.0,1
1117,35614,930.0,2
1118,35614,490.0,3
1119,35614,320.0,4
1120,35614,340.0,5
1121,35614,60.0,6
1122,35616,560.0,1
1123,35616,370.0,2
1124,35616,220.0,3
1125,35616,120.0,4
1126,35616,180.0,5
1127,35616,0.0,6
1128,35618,330.0,1
1129,35618,240.0,2
1130,35618,110.0,3
1131,35618,50.0,4
1132,35618,50.0,5
1133,35618,0.0,6
1134,35619,740.0,1
1135,35619,570.0,2
1136,35619,330.0,3
1137,35619,240.0,4
1138,35619,250.0,5
1139,35619,40.0,6
1140,35620,1260.0,1
1141,35620,1060.0,2
1142,35620,670.0,3
1143,35620,410.0,4
1144,35620,550.0,5
1145,35620,80.0,6
1146,35621,420.0,1
1147,35621,310.0,2
1148,35621,160.0,3
1149,35621,140.0,4
1150,35621,180.0,5
1151,35621,20.0,6
1152,35622,1000.0,1
1153,35622,780.0,2
1154,35622,400.0,3
1155,35622,250.0,4
1156,35622,310.0,5
1157,35622,40.0,6
1158,35630,6110.0,1
1159,35630,3500.0,2
1160,35630,1540.0,3
1161,35630,770.0,4
1162,35630,1080.0,5
1163,35630,320.0,6
1164,35633,3090.0,1
1165,35633,2130.0,2
1166,35633,1330.0,3
1167,35633,960.0,4
1168,35633,1140.0,5
1169,35633,230.0,6
1170,35634,1580.0,1
1171,35634,1030.0,2
1172,35634,630.0,3
1173,35634,510.0,4
1174,35634,710.0,5
1175,35634,310.0,6
1176,35640,3630.0,1
1177,35640,2780.0,2
1178,35640,1720.0,3
1179,35640,1220.0,4
1180,35640,1770.0,5
1181,35640,370.0,6
1182,35643,480.0,1
1183,35643,440.0,2
1184,35643,210.0,3
1185,35643,100.0,4
1186,35643,130.0,5
1187,35643,0.0,6
1188,35645,1740.0,1
1189,35645,1350.0,2
1190,35645,920.0,3
1191,35645,730.0,4
1192,35645,990.0,5
1193,35645,260.0,6
1194,35646,700.0,1
1195,35646,520.0,2
1196,35646,270.0,3
1197,35646,130.0,4
1198,35646,190.0,5
1199,35646,40.0,6
1200,35647,160.0,1
1201,35647,110.0,2
1202,35647,70.0,3
1203,35647,50.0,4
1204,35647,80.0,5
1205,35647,0.0,6
1206,35648,540.0,1
1207,35648,410.0,2
1208,35648,240.0,3
1209,35648,200.0,4
1210,35648,200.0,5
1211,35648,30.0,6
1212,35650,2010.0,1
1213,35650,1470.0,2
1214,35650,870.0,3
1215,35650,580.0,4
1216,35650,750.0,5
1217,35650,80.0,6
1218,35651,150.0,1
1219,35651,120.0,2
1220,35651,70.0,3
